patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_67,"['Arable land' 'Complex cultivation patterns' 'Inland wetlands'
 'Mixed forest' 'Pastures']",train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_67,S2A_MSIL2A_20170613T101031_37_67,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_44_84,"['Complex cultivation patterns' 'Industrial or commercial units'
 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_44_84,S2A_MSIL2A_20170613T101031_44_84,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_74,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures' 'Urban fabric']",train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_47_74,S2A_MSIL2A_20170613T101031_47_74,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_73,['Mixed forest' 'Pastures' 'Urban fabric'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_53_73,S2A_MSIL2A_20170613T101031_53_73,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_56_78,['Broad-leaved forest' 'Coniferous forest' 'Mixed forest' 'Pastures'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_56_78,S2A_MSIL2A_20170613T101031_56_78,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_56_81,"['Coniferous forest' 'Industrial or commercial units' 'Mixed forest'
 'Pastures']",train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_56_81,S2A_MSIL2A_20170613T101031_56_81,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_58_87,['Mixed forest' 'Pastures'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_58_87,S2A_MSIL2A_20170613T101031_58_87,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_60_56,['Arable land' 'Complex cultivation patterns' 'Mixed forest' 'Pastures'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_60_56,S2A_MSIL2A_20170613T101031_60_56,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_64_62,['Coniferous forest' 'Mixed forest'],test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_64_62,S2A_MSIL2A_20170613T101031_64_62,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_66_72,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures']",train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_66_72,S2A_MSIL2A_20170613T101031_66_72,False,False
