patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_68,['Arable land' 'Complex cultivation patterns' 'Mixed forest' 'Pastures'],test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_68,S2A_MSIL2A_20170613T101031_40_68,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_78,['Mixed forest' 'Pastures'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_42_78,S2A_MSIL2A_20170613T101031_42_78,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_44_69,['Complex cultivation patterns' 'Mixed forest' 'Pastures'],validation,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_44_69,S2A_MSIL2A_20170613T101031_44_69,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_62,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_45_62,S2A_MSIL2A_20170613T101031_45_62,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_45,"['Arable land' 'Industrial or commercial units'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_47_45,S2A_MSIL2A_20170613T101031_47_45,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_49,['Arable land' 'Coniferous forest' 'Pastures'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_47_49,S2A_MSIL2A_20170613T101031_47_49,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_50_78,['Mixed forest' 'Pastures' 'Urban fabric'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_50_78,S2A_MSIL2A_20170613T101031_50_78,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_51_50,"['Arable land' 'Complex cultivation patterns' 'Mixed forest'
 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_51_50,S2A_MSIL2A_20170613T101031_51_50,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_42,['Arable land' 'Broad-leaved forest' 'Inland waters' 'Urban fabric'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_52_42,S2A_MSIL2A_20170613T101031_52_42,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_56,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Urban fabric']",train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_52_56,S2A_MSIL2A_20170613T101031_52_56,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_59_68,"['Complex cultivation patterns' 'Coniferous forest'
 'Industrial or commercial units'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_59_68,S2A_MSIL2A_20170613T101031_59_68,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_63_41,['Arable land' 'Urban fabric'],train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_63_41,S2A_MSIL2A_20170613T101031_63_41,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_65_73,['Coniferous forest' 'Mixed forest' 'Pastures'],validation,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_65_73,S2A_MSIL2A_20170613T101031_65_73,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_68_73,['Mixed forest' 'Pastures' 'Urban fabric'],validation,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_68_73,S2A_MSIL2A_20170613T101031_68_73,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_69_62,['Coniferous forest' 'Mixed forest'],train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_69_62,S2A_MSIL2A_20170613T101031_69_62,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_70_57,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_70_57,S2A_MSIL2A_20170613T101031_70_57,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_73_74,"['Arable land' 'Complex cultivation patterns'
 'Industrial or commercial units' 'Pastures' 'Urban fabric']",validation,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_73_74,S2A_MSIL2A_20170613T101031_73_74,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_30,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",validation,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_74_30,S2A_MSIL2A_20170613T101031_74_30,False,False
